"dateAndTime","name","eventCode"
"2019-05-08 11:54:08","cup",0
"2019-05-08 11:55:40","cup",1
"2019-05-08 11:55:49","cup",0
"2019-05-08 11:56:41","cup",1
"2019-05-08 11:56:45","cup",0
"2019-05-08 11:58:35","cup",1
"2019-05-08 11:58:39","cup",0
"2019-05-08 11:58:40","cup",1
"2019-05-08 11:58:45","cup",0
"2019-05-08 11:58:52","door",1
"2019-05-08 11:58:55","door",0
"2019-05-08 12:50:49","door",1
"2019-05-08 12:50:52","door",0
"2019-05-08 12:52:10","door",1
"2019-05-08 12:53:06","door",0
"2019-05-08 12:55:37","door",1
"2019-05-08 12:55:45","door",0
"2019-05-08 13:02:10","cupboard2",1
"2019-05-08 13:02:20","cupboard2",0
"2019-05-08 13:02:31","kettle",1
"2019-05-08 13:05:28","door",1
"2019-05-08 13:06:07","door",0
"2019-05-08 13:30:58","door",1
"2019-05-08 13:31:03","door",0
"2019-05-08 13:32:11","door",1
"2019-05-08 13:32:41","door",0
"2019-05-08 13:53:40","door",1
"2019-05-08 13:54:01","door",0
"2019-05-08 14:29:16","door",1
"2019-05-08 14:29:23","cupboard4",1
"2019-05-08 14:29:26","cupboard5",1
"2019-05-08 14:29:38","cup",1
"2019-05-08 14:29:50","kettle",0
"2019-05-08 14:29:53","cup",0
"2019-05-08 14:30:00","cup",1
"2019-05-08 14:30:01","cup",1
"2019-05-08 14:30:01","cup",0
"2019-05-08 14:30:02","cup",0
"2019-05-08 14:30:06","cup",1
"2019-05-08 14:30:13","cup",0
"2019-05-08 14:30:21","cup",1
"2019-05-08 14:30:22","cup",0
"2019-05-08 14:30:23","cup",1
"2019-05-08 14:30:24","cup",0
"2019-05-08 14:30:25","cup",1
"2019-05-08 14:30:29","cup",0
"2019-05-08 14:30:38","cupboard2",1
"2019-05-08 14:30:41","cupboard3",1
"2019-05-08 14:30:55","cupboard3",0
"2019-05-08 14:30:59","cupboard2",0
"2019-05-08 14:31:02","cup",1
"2019-05-08 14:31:06","cup",0
"2019-05-08 14:31:07","cup",1
"2019-05-08 14:31:13","cup",0
"2019-05-08 14:31:25","cup",0
"2019-05-08 14:31:25","cup",1
"2019-05-08 14:31:30","cupboard4",0
"2019-05-08 14:31:33","cupboard5",0
"2019-05-08 14:36:35","door",0
"2019-05-08 14:40:33","door",1
"2019-05-08 14:40:37","door",0
"2019-05-08 14:40:41","cupboard4",1
"2019-05-08 14:40:43","cup",1
"2019-05-08 14:40:46","cupboard4",0
"2019-05-08 14:40:48","cup",0
"2019-05-08 14:40:54","cupboard3",1
"2019-05-08 14:42:10","cupboard3",0
"2019-05-08 14:42:13","kettle",1
"2019-05-08 14:42:20","kettle",0
"2019-05-08 14:42:24","cup",1
"2019-05-08 14:42:30","cup",0
"2019-05-08 14:42:40","cup",1
"2019-05-08 14:42:46","cup",0
"2019-05-08 14:43:19","cup",1
"2019-05-08 14:43:25","cup",0
"2019-05-08 14:44:07","cup",1
"2019-05-08 14:44:12","cup",0
"2019-05-08 14:45:03","cup",1
"2019-05-08 14:45:09","cup",0
"2019-05-08 14:45:34","cup",1
"2019-05-08 14:45:41","cup",0
"2019-05-08 14:46:58","cup",1
"2019-05-08 14:47:04","cup",0
"2019-05-08 14:47:40","cup",1
